RTPJ	LTPJ	PC	DMPFC	lDMPFC	rDMPFC	MMPFC	lMMPFC	rMMPFC	VMPFC	lVMPFC	rVMPFC	group-avToM	group-RTPJ
-0.0760659188655896	0.0308583270155433	-0.0576330409470423	0.295891308036025	0.23550083278532	0.45035893841205	0.256867276997814	0.121894181707791	0.344434571095445	-0.199735503489928	-0.373720866665417	-0.0404955265630167	0.145552664418889	0.131634044786076
-0.0470950074166047	0.00397321667037695	-0.115618758704776	0.158845978317897	0.165544524771665	0.243196898344425	0.249119600793442	0.159283274402332	0.284438355527805	-0.239101750860739	-0.332809294039833	-0.0939891492965459	0.0822165304279028	0.0539485739594057
-0.0181240959676199	-0.0229118936747894	-0.17360447646251	0.0218006485997688	0.09558821675801	0.0360348582768004	0.241371924589071	0.196672367096873	0.224442139960166	-0.278467998231551	-0.291897721414248	-0.147482772030075	0.0188803964369166	-0.0237368968672645
0.118175462553867	0.0988610634406988	-0.0509857601361059	0.119209139286586	0.232822895056135	0.0575399682241522	0.219153631055878	0.302185364279919	0.218583401248441	-0.134287359073291	-0.151693184596735	-0.0325057832088446	0.0668030543501233	0.0709086457196528
0.254475021075354	0.220634020556187	0.0716329561902983	0.216617629973403	0.370057573354261	0.0790450781715039	0.196935337522686	0.407698361462966	0.212724662536716	0.00989328008496806	-0.0114886477792216	0.0824712056123859	0.11472571226333	0.16555418830657
0.253108174709362	0.176221781540697	0.18800867590136	0.267530875872772	0.363461299827216	0.195093677159347	0.43369928166239	0.397524888212175	0.462123961457369	0.0799435296500375	0.00242684009715925	0.176570988072095	0.176013845040728	0.216067092860337
0.251741328343369	0.131809542525207	0.304384395612421	0.318444121772141	0.356865026300172	0.31114227614719	0.670463225802093	0.387351414961384	0.711523260378022	0.149993779215107	0.0163423279735401	0.270670770531804	0.237301977818125	0.266579997414105
0.185034702749478	0.0944729282401744	0.266269449662795	0.170359984779522	0.330476942250236	0.133756218116019	0.349690665184592	0.177477175650704	0.376636226690094	0.125510008159851	0.00740848868253044	0.186643109671838	0.152450427240699	0.221820425461768
0.118328077155587	0.0571363139551417	0.228154503713169	0.0222758477869037	0.304088858200301	-0.0436298399151524	0.0289181045670909	-0.0323970636599756	0.0417491930021653	0.101026237104594	-0.00152535060847921	0.102615448811872	0.0675988766632738	0.17706085350943
0.106553074982363	0.0722964615626618	0.154698361822008	-0.0822133688146042	0.218581987963245	-0.159816736249215	-0.151945861821553	-0.0121914440079752	-0.144280343485076	-0.0705648221095285	-0.174334007269577	-0.0824153365123045	0.00958313985293935	0.150895302698408
0.0947780728091389	0.0874566091701818	0.0812422199308473	-0.186702585416112	0.133075117726188	-0.276003632583278	-0.332809828210196	0.00801417564402529	-0.330309879972318	-0.242155881323651	-0.347142663930674	-0.267446121836481	-0.0484325969573951	0.124729751887385
